gene,strand,chr,gStart,gEnd
OR2AK2,+,chr1,248128535,248129641
OR2AL1P,-,chr11,105065167,105065673
OR2AM1P,+,chr9,36021689,36022110
OR2AO1P,+,chr7,143873833,143874235
OR2AP1,+,chr12,55968199,55969128
OR2AQ1P,+,chr1,158765804,158766003
OR2AS1P,-,chr1,248712745,248713063
OR2AS2P,+,chr1,248661609,248661929
OR2AT1P,-,chr11,74842183,74842925
OR2AT2P,-,chr11,74782193,74783097
OR2AT4,-,chr11,74799758,74800799
OR2B11,-,chr1,247614255,247615308
OR2B2,-,chr6,27878963,27880174
OR2B3,-,chr6,29053985,29055090
OR2B4P,+,chr6,29258488,29259430
OR2B6,+,chr6,27925019,27925960
OR2B7P,+,chr6,28014212,28015145
OR2B8P,-,chr6,28021006,28021943
OR2BH1P,+,chr11,29008182,29009045
OR2C1,+,chr16,3405889,3406924
OR2C3,-,chr1,247693434,247697141
OR2D2,-,chr11,6912721,6913830
OR2D3,+,chr11,6942205,6943264
OR2E1P,-,chr6,28423425,28423918
OR2F1,+,chr7,143657027,143658108
OR2F2,+,chr7,143632259,143633372
OR2G1P,-,chr6,29197004,29197934
OR2G2,+,chr1,247751662,247752615
OR2G3,+,chr1,247768856,247769838
OR2G6,+,chr1,248684916,248685964
OR2H1,+,chr6,29424958,29432105
OR2H2,+,chr6,29555683,29556745
OR2H4P,+,chr6,29183013,29183956
OR2H5P,+,chr6,29541686,29542613
OR2I1P,+,chr6,29520996,29521943
OR2J1,+,chr6,29068386,29069658
OR2J2,+,chr6,29141311,29142351
OR2J3,+,chr6,29079668,29080603
OR2J4P,+,chr6,29149287,29150222
OR2K2,-,chr9,114089763,114090800
OR2L13,+,chr1,248100493,248264224
OR2L1P,+,chr1,248153569,248154506
OR2L2,+,chr1,248201474,248202607
OR2L3,+,chr1,248223984,248224922
OR2L5,+,chr1,248185250,248186188
OR2L6P,+,chr1,248166431,248167370
OR2L8,+,chr1,248112160,248113098
OR2L9P,+,chr1,248138043,248138955
OR2M1P,+,chr1,248285234,248286184
OR2M2,+,chr1,248343288,248344331
OR2M3,+,chr1,248366332,248367392
OR2M4,+,chr1,248402231,248403166
OR2M5,+,chr1,248308450,248309388
OR2M7,-,chr1,248486894,248487899
OR2N1P,-,chr6,29105657,29106593
OR2P1P,-,chr6,29039601,29040376
OR2Q1P,+,chr7,143677998,143678913
OR2R1P,-,chr7,143185582,143186495
OR2S1P,+,chr9,36013181,36014130
OR2S2,-,chr9,35957105,35958151
OR2T1,+,chr1,248569296,248570405
OR2T10,-,chr1,248756052,248757100
OR2T11,-,chr1,248789420,248790491
OR2T12,-,chr1,248457918,248458880
OR2T2,+,chr1,248616077,248617130
OR2T27,-,chr1,248813232,248814185
OR2T29,-,chr1,248721784,248722797
OR2T3,+,chr1,248636627,248637634
OR2T32P,-,chr1,248246936,248247898
OR2T33,-,chr1,248436073,248437138
OR2T34,-,chr1,248737022,248738080
OR2T35,-,chr1,248801588,248802559
OR2T4,+,chr1,248524883,248525929
OR2T5,+,chr1,248651885,248652898
OR2T6,+,chr1,248550910,248551836
OR2T7,+,chr1,248604508,248605434
OR2T8,+,chr1,248084320,248085258
OR2U1P,-,chr6,29230480,29231856
OR2U2P,-,chr6,29236239,29237198
OR2V1,-,chr5,180551357,180552304
OR2V2,+,chr5,180581943,180582890
OR2W1,-,chr6,29011990,29013017
OR2W2P,+,chr6,28001725,28002633
OR2W3,+,chr1,248031277,248060449
OR2W4P,+,chr6,27944928,27945853
OR2W5,+,chr1,247654370,247655710
OR2W6P,+,chr6,27905243,27906181
OR2X1P,+,chr1,248102275,248102961
OR2Y1,-,chr5,180166042,180167099
OR2Z1,+,chr19,8841316,8842371
OR3A1,-,chr17,3194929,3195876
OR3A2,-,chr17,3181193,3182268
OR3A3,+,chr17,3323862,3324827
OR3A4P,+,chr17,3213539,3214740
OR3A5P,+,chr17,3214487,3215186
OR3B1P,-,chrX,153887064,153887956
OR3D1P,+,chr1,247830189,247831143
OR4A10P,+,chr11,55199433,55199843
OR4A11P,+,chr11,55086036,55086941
OR4A12P,+,chr11,55093232,55094149
OR4A13P,+,chr11,55234247,55235188
OR4A14P,+,chr11,55245027,55245985
OR4A15,+,chr11,55135360,55136394
OR4A16,+,chr11,55110627,55111707
OR4A17P,+,chr11,55211911,55212814
OR4A18P,-,chr11,49938943,49940030
OR4A19P,-,chr11,49941864,49942966
OR4A1P,-,chr11,49919819,49920738
OR4A21P,+,chr11,55258628,55259618
OR4A2P,-,chr11,51451070,51451982
OR4A3P,-,chr11,51455830,51456700
OR4A40P,+,chr11,48533825,48534772
OR4A41P,+,chr11,48611312,48612239
OR4A42P,+,chr11,48631615,48632552
OR4A43P,+,chr11,48547616,48548523
OR4A44P,+,chr11,48649098,48650045
OR4A45P,+,chr11,48600988,48601888
OR4A46P,+,chr11,48517900,48518832
OR4A47,+,chr11,48510269,48511332
OR4A48P,+,chr11,48513578,48513968
OR4A49P,-,chr11,49936565,49937196
OR4A4P,-,chr11,51458685,51459614
OR4A5,-,chr11,51411378,51412448
OR4A50P,+,chr11,55243419,55243904
OR4A6P,-,chr11,51393464,51394433
OR4A7P,-,chr11,51425921,51426830
OR4A8P,-,chr11,51435459,51436403
OR4A9P,+,chr11,55156005,55156948
OR4B1,+,chr11,48238344,48239314
OR4B2P,+,chr11,48248981,48249862
OR4C10P,-,chr11,48453769,48454699
OR4C11,-,chr11,55370830,55371874
OR4C12,-,chr11,50003009,50004071
OR4C13,+,chr11,49973943,49974971
OR4C14P,+,chr11,55304478,55305400
OR4C15,+,chr11,55321783,55322895
OR4C16,+,chr11,55339604,55340536
OR4C1P,+,chr11,55277217,55278147
OR4C2P,+,chr11,48441762,48442825
OR4C3,+,chr11,48346472,48347507
OR4C46,+,chr11,51515282,51516211
OR4C4P,-,chr11,48366900,48373999
OR4C5,-,chr11,48387037,48388017
OR4C50P,-,chr11,51526871,51527800
OR4C6,+,chr11,55432614,55433671
OR4C7P,+,chr11,51483325,51484243
OR4C9P,-,chr11,48485605,48486529
OR4D1,+,chr17,56232494,56233517
OR4D10,+,chr11,59244846,59245869
OR4D11,+,chr11,59271049,59271984
OR4D12P,-,chr4,4128386,4129296
OR4D2,+,chr17,56247017,56247940
OR4D5,+,chr11,123810250,123811344
OR4D6,+,chr11,59224411,59225464
OR4D7P,+,chr11,59299227,59300168
OR4D8P,+,chr11,59259125,59260054
OR4D9,+,chr11,59282386,59283330
OR4E1,-,chr14,22138203,22139150
OR4E2,+,chr14,22133297,22134238
OR4F13P,+,chr15,102382322,102390527
OR4F14P,+,chr15,102368944,102369882
OR4F15,+,chr15,102358366,102359350
OR4F16,-,chr1,621059,622053
OR4F17,+,chr19,107471,111696
OR4F1P,-,chr6,105919,106856
OR4F21,-,chr8,116049,117043
OR4F28P,+,chr15,102416167,102417104
OR4F29,+,chr1,367640,368634
OR4F2P,-,chr11,86649,87586
OR4F3,+,chr5,180794269,180795263
OR4F4,-,chr15,102462245,102463298
OR4F5,+,chr1,69091,70008
OR4F6,+,chr15,102345902,102346876
OR4F7P,+,chr6,170948694,170949624
OR4F8P,-,chr19,156279,157215
OR4G11P,+,chr1,62948,63887
OR4G1P,+,chr19,104535,105471
OR4G2P,-,chr15,102467008,102467910
OR4G3P,+,chr19,94062,96511
OR4G4P,+,chr1,52473,54936
OR4H12P,+,chr14,20228027,20228947
OR4H6P,+,chr15,22344660,22345900
OR4K1,+,chr14,20403767,20404842
OR4K11P,-,chr21,14916603,14917506
OR4K12P,-,chr21,14953365,14954325
OR4K13,-,chr14,20502003,20502919
OR4K14,-,chr14,20482419,20483352
OR4K15,+,chr14,20443603,20444818
OR4K16P,+,chr14,20424759,20425727
OR4K17,+,chr14,20585566,20586597
OR4K2,+,chr14,20344391,20345468
OR4K3,-,chr14,20336401,20337302
OR4K4P,+,chr14,20374076,20374759
OR4K5,+,chr14,20388741,20389818
OR4K6P,+,chr14,20315526,20316422
OR4K7P,+,chr18,14570843,14571787
OR4K8P,+,chr18,14613136,14614183
OR4L1,+,chr14,20528204,20529142
OR4M1,+,chr14,20248401,20249516
OR4M2,+,chr15,22368478,22369561
OR4N1P,+,chr14,20264504,20265419
OR4N2,+,chr14,20187174,20296531
OR4N3P,+,chr15,22413569,22414386
OR4N4,+,chr15,22382382,22383507
OR4N5,+,chr14,20611895,20612821
OR4P1P,+,chr11,55450715,55451850
OR4P4,+,chr11,55405834,55406772
OR4Q1P,+,chr15,22332815,22333350
OR4Q2,+,chr14,20470322,20471265
OR4Q3,+,chr14,20215587,20216528
OR4R1P,-,chr11,48507915,48508377
OR4R2P,+,chr11,51461564,51462160
OR4R3P,+,chr11,49944601,49945438
OR4S1,+,chr11,48327775,48328704
OR4S2,+,chr11,55418380,55419315
OR4T1P,+,chr14,20561512,20562422
OR4U1P,+,chr14,20512075,20512986
OR4V1P,+,chr11,55441012,55442151
OR4X1,+,chr11,48285413,48286330
OR4X2,+,chr11,48266608,48267622
OR4X7P,+,chr11,55179002,55179193
OR51A10P,-,chr11,5489716,5490652
OR51A1P,-,chr11,5191581,5192526
OR51A2,-,chr11,4976002,4976943
OR51A3P,-,chr11,4958601,4959524
OR51A4,-,chr11,4967355,4968356
OR51A5P,-,chr11,4994173,4995114
OR51A6P,-,chr11,4910823,4911826
OR51A7,+,chr11,4928600,4929538
OR51A8P,+,chr11,4853363,4854302
OR51A9P,-,chr11,4682083,4682993
OR51AB1P,-,chr11,5312991,5313610
OR51B2,-,chr11,5344541,5345582
OR51B3P,-,chr11,5336002,5336914
OR51B4,-,chr11,5322244,5323226
OR51B5,-,chr11,5363744,5364809
OR51B6,+,chr11,5372738,5373676
OR51B8P,-,chr11,5351822,5352590
OR51C1P,-,chr11,4711988,4713394
OR51C4P,+,chr11,4739842,4740789
OR51D1,+,chr11,4660945,4662068
OR51E1,+,chr11,4664650,4676718
OR51E2,-,chr11,4701401,4719084
OR51F1,-,chr11,4790209,4791168
OR51F2,+,chr11,4842551,4843686
OR51F3P,-,chr11,4757408,4758308
OR51F4P,-,chr11,4773276,4774174
OR51F5P,+,chr11,4730799,4731740
OR51G1,-,chr11,4944531,4945637
OR51G2,-,chr11,4935900,4936922
OR51H1P,-,chr11,4880886,4881794
OR51H2P,+,chr11,4897787,4898692
OR51I1,-,chr11,5461800,5462744
OR51I2,+,chr11,5474638,5475707
OR51J1,+,chr11,5423827,5424777
OR51K1P,-,chr11,5451883,5452832
OR51L1,+,chr11,5020213,5021160
OR51M1,+,chr11,5410607,5411664
OR51N1P,+,chr11,4807963,4808935
OR51P1P,+,chr11,5036368,5037309
OR51Q1,+,chr11,5443341,5444436
OR51R1P,+,chr11,4439290,4440193
OR51S1,-,chr11,4869427,4870514
OR51T1,+,chr11,4903049,4904113
OR51V1,-,chr11,5220965,5221930
OR52A1,-,chr11,5172239,5207612
OR52A4,-,chr11,5141849,5145743
OR52A5,-,chr11,5152922,5153872
OR52B1P,-,chr11,6173006,6173818
OR52B2,-,chr11,6190560,6191638
OR52B3P,+,chr11,4399512,4400457
OR52B4,-,chr11,4388493,4389616
OR52B5P,+,chr11,5582197,5583147
OR52B6,+,chr11,5602107,5603114
OR52D1,+,chr11,5509915,5510979
OR52E1,+,chr11,5090802,5091691
OR52E2,-,chr11,5079880,5080857
OR52E3P,+,chr11,5113906,5114841
OR52E4,+,chr11,5905501,5906527
OR52E6,-,chr11,5862158,5863182
OR52E7P,+,chr11,5895190,5896122
OR52E8,-,chr11,5877904,5878964
OR52H1,-,chr11,5565719,5566779
OR52H2P,-,chr11,5572892,5573793
OR52I1,+,chr11,4615037,4616243
OR52I2,+,chr11,4608021,4609135
OR52J1P,+,chr11,5125383,5126314
OR52J2P,+,chr11,5058243,5059181
OR52J3,+,chr11,5067756,5068691
OR52K1,+,chr11,4510109,4511138
OR52K2,+,chr11,4470525,4471591
OR52K3P,+,chr11,4496043,4497123
OR52L1,-,chr11,6007122,6008215
OR52L2P,-,chr11,6078546,6079505
OR52M1,+,chr11,4566421,4567374
OR52M2P,-,chr11,4536196,4537154
OR52N1,-,chr11,5809084,5810046
OR52N2,+,chr11,5841544,5842578
OR52N3P,+,chr11,5821594,5822690
OR52N4,+,chr11,5775923,5776959
OR52N5,-,chr11,5798864,5799897
OR52P1P,+,chr11,5747732,5748694
OR52P2P,-,chr11,4452553,4453507
OR52R1,-,chr11,4824663,4825847
OR52S1P,-,chr11,5097360,5098296
OR52T1P,-,chr11,5587908,5588846
OR52U1P,+,chr11,5740520,5741442
OR52V1P,-,chr11,5548507,5549404
OR52W1,+,chr11,6220376,6221489
OR52X1P,-,chr11,6088103,6089016
OR52Y1P,-,chr11,4815008,4816514
OR52Z1,-,chr11,5198944,5199891
OR55B1P,-,chr11,4167512,4168525
OR56A1,-,chr11,6047901,6048971
OR56A3,+,chr11,5968570,5969591
OR56A4,-,chr11,6023216,6024424
OR56A7P,-,chr11,6067037,6067977
OR56B1,+,chr11,5757681,5758768
OR56B2P,+,chr11,5786326,5787279
OR56B3P,+,chr11,6149840,6150706
OR56B4,+,chr11,6128914,6130065
OR5A1,+,chr11,59210617,59211667
OR5A2,-,chr11,59189416,59190449
OR5AC1,+,chr3,97783316,97784240
OR5AC2,+,chr3,97806017,97806946
OR5AC4P,+,chr3,97823598,97824516
OR5AH1P,+,chr19,57272301,57272583
OR5AK1P,+,chr11,56785575,56786361
OR5AK2,+,chr11,56756347,56757342
OR5AK3P,+,chr11,56738325,56739621
OR5AK4P,+,chr11,56804912,56805009
OR5AL1,+,chr11,56180220,56181144
OR5AL2P,+,chr11,56161205,56162124
OR5AM1P,-,chr11,56387255,56388286
OR5AN1,+,chr11,59131885,59132921
OR5AN2P,-,chr11,59077154,59078049
OR5AO1P,+,chr11,56812566,56812865
OR5AP1P,-,chr11,56400640,56401579
OR5AP2,-,chr11,56408942,56409947
OR5AQ1P,+,chr11,55821840,55822779
OR5AR1,+,chr11,56431138,56432163
OR5AS1,+,chr11,55797895,55798869
OR5AU1,-,chr14,21623026,21624222
OR5AW1P,-,chrX,130475421,130476426
OR5AZ1P,-,chr11,57684769,57685711
OR5B10P,-,chr11,58116462,58117103
OR5B12,-,chr11,58206593,58207646
OR5B15P,-,chr11,58155056,58155959
OR5B17,-,chr11,58125597,58126542
OR5B19P,-,chr11,58111210,58112137
OR5B1P,-,chr11,58133309,58134236
OR5B2,-,chr11,58189738,58190786
OR5B21,-,chr11,58274648,58275578
OR5B3,-,chr11,58169937,58170882
OR5BA1P,-,chr11,57633770,57634751
OR5BB1P,-,chr11,59158827,59159765
OR5BC1P,-,chr11,58085109,58085847
OR5BD1P,-,chr11,57713070,57713886
OR5BE1P,+,chr11,55850277,55851215
OR5BH1P,-,chrX,130532028,130532946
OR5BJ1P,-,chr12,48788293,48789175
OR5BK1P,-,chr12,48749575,48750397
OR5BL1P,+,chr11,57938570,57939193
OR5BM1P,+,chr3,97772218,97772583
OR5BN1P,-,chr11,55900142,55900970
OR5BN2P,-,chr11,55884115,55884732
OR5BP1P,+,chr11,56823062,56823607
OR5BQ1P,+,chr11,56796883,56797197
OR5BR1P,-,chr11,59100230,59101559
OR5BS1P,+,chr12,48953665,48956739
OR5BT1P,-,chr12,48779200,48780048
OR5C1,+,chr9,125551150,125552237
OR5D13,+,chr11,55540914,55541858
OR5D14,+,chr11,55563032,55563976
OR5D15P,+,chr11,55554440,55555381
OR5D16,+,chr11,55606228,55607214
OR5D17P,+,chr11,55522452,55523433
OR5D18,+,chr11,55587086,55588073
OR5D2P,+,chr11,55482472,55483108
OR5D3P,+,chr11,55493594,55494634
OR5E1P,+,chr11,7870247,7871182
OR5F1,-,chr11,55761157,55762101
OR5F2P,-,chr11,55782493,55783433
OR5G1P,-,chr11,56542737,56543682
OR5G3,-,chr11,56587052,56587980
OR5G4P,-,chr11,56557682,56558441
OR5G5P,-,chr11,56569332,56587184
OR5H1,+,chr3,97851542,97852483
OR5H14,+,chr3,97868170,97869249
OR5H15,+,chr3,97887544,97888485
OR5H2,+,chr3,98001732,98002676
OR5H3P,+,chr3,97926267,97927185
OR5H4P,+,chr3,97940888,97941810
OR5H5P,+,chr3,97916055,97916982
OR5H6,+,chr3,97983088,97984200
OR5H7P,+,chr3,97957196,97958125
OR5H8P,+,chr3,98030757,98031687
OR5I1,-,chr11,55702932,55703876
OR5J1P,+,chr11,55838506,55839525
OR5J2,+,chr11,55944094,55945032
OR5J7P,+,chr11,55932976,55933397
OR5K1,+,chr3,98188324,98189420
OR5K2,+,chr3,98216448,98217496
OR5K3,+,chr3,98109510,98110475
OR5K4,+,chr3,98072698,98073663
OR5L1,+,chr11,55578854,55579952
OR5L2,+,chr11,55594695,55595630
OR5M1,-,chr11,56380031,56380978
OR5M10,-,chr11,56344212,56345263
OR5M11,-,chr11,56309746,56310757
OR5M12P,+,chr11,56396408,56397345
OR5M13P,-,chr11,56364902,56365838
OR5M14P,-,chr4,41724555,41725529
OR5M2P,-,chr11,56246968,56247903
OR5M3,-,chr11,56236964,56238014
OR5M4P,+,chr11,56216144,56217068
OR5M5P,-,chr11,56294044,56294979
OR5M6P,-,chr11,56279711,56280647
OR5M7P,-,chr11,56267776,56268747
OR5M8,-,chr11,56257825,56258871
OR5M9,-,chr11,56229945,56230877
OR5P1P,-,chr11,7794437,7795361
OR5P2,-,chr11,7817452,7818520
OR5P3,-,chr11,7846584,7847519
OR5P4P,+,chr11,7767537,7768453
OR5R1,-,chr11,56184734,56185708
OR5S1P,+,chr2,241048519,241049469
OR5T1,+,chr11,56043029,56044146
OR5T2,-,chr11,55999490,56000737
OR5T3,+,chr11,56019676,56020698
OR5V1,-,chr6,29323007,29399744
OR5W1P,-,chr11,55670817,55671754
OR5W2,-,chr11,55681126,55682058
OR6A2,-,chr11,6815756,6817128
OR6B1,+,chr7,143701022,143702068
OR6B2,-,chr2,240968841,240969906
OR6B3,-,chr2,240984494,240985489
OR6C1,+,chr12,55714346,55715408
OR6C2,+,chr12,55845998,55846936
OR6C3,+,chr12,55725485,55726420
OR6C4,+,chr12,55944983,55946028
OR6C5P,+,chr12,55705619,55706541
OR6C6,-,chr12,55688072,55689016
OR6C64P,+,chr12,55916377,55917201
OR6C65,+,chr12,55794214,55795289
OR6C66P,+,chr12,55782229,55783158
OR6C68,+,chr12,55886147,55887100
OR6C69P,+,chr12,55656323,55657215
OR6C70,-,chr12,55862984,55863922
OR6C71P,-,chr12,55770582,55771520
OR6C72P,+,chr12,55677534,55706860
OR6C73P,+,chr12,55790124,55790481
OR6C74,+,chr12,55640982,55642086
OR6C75,+,chr12,55758895,55759833
OR6C76,+,chr12,55820038,55820976
OR6C7P,+,chr12,55736625,55737558
OR6D1P,+,chr10,45753633,45754571
OR6E1P,+,chr14,23171352,23172274
OR6F1,-,chr1,247875045,247876105
OR6J1,-,chr14,23102673,23103716
OR6K1P,-,chr1,158664329,158665299
OR6K2,-,chr1,158669369,158670486
OR6K3,-,chr1,158686958,158687953
OR6K4P,-,chr1,158693903,158694902
OR6K5P,-,chr1,158711936,158713205
OR6K6,+,chr1,158724510,158725681
OR6L1P,-,chr10,135388626,135389535
OR6L2P,-,chr10,135243898,135244822
OR6M1,-,chr11,123676043,123677095
OR6M2P,-,chr11,123711714,123712584
OR6M3P,-,chr11,123732530,123733229
OR6N1,-,chr1,158735466,158736492
OR6N2,-,chr1,158746472,158747425
OR6P1,-,chr1,158532441,158533394
OR6Q1,+,chr11,57798402,57799403
OR6R1P,-,chr1,247996651,247997590
OR6R2P,+,chr8,21654972,21655271
OR6S1,-,chr14,21108855,21109850
OR6T1,-,chr11,123813492,123814580
OR6U2P,+,chr12,56005407,56006338
OR6V1,+,chr7,142749417,142750444
OR6W1P,-,chr7,142759427,142760735
OR6X1,-,chr11,123624196,123625253
OR6Y1,-,chr1,158516918,158517895
OR7A10,-,chr19,14951760,14952689
OR7A15P,+,chr19,15037870,15038836
OR7A17,-,chr19,14991138,14992264
OR7A18P,-,chr19,14997651,14997927
OR7A19P,+,chr12,46986356,46987088
OR7A1P,-,chr19,15002707,15003616
OR7A3P,-,chr19,15014044,15014985
OR7A5,-,chr19,14903302,14946188
OR7C1,-,chr19,14909958,14911023
OR7C2,+,chr19,15052301,15053260
OR7D1P,+,chr19,9345820,9346812
OR7D2,+,chr19,9296279,9299493
OR7D4,-,chr19,9324526,9325542
OR7E100P,-,chr3,112243034,112244048
OR7E101P,+,chr13,47034744,47035256
OR7E102P,+,chr2,96212279,96213315
OR7E104P,+,chr13,64411166,64411589
OR7E105P,+,chr14,52223714,52224706
OR7E106P,-,chr14,52229774,52230794
OR7E108P,-,chr9,93513522,93514512
OR7E109P,-,chr9,93504808,93505662
OR7E10P,-,chr8,12560575,12561565
OR7E110P,-,chr10,15028941,15029514
OR7E111P,+,chr13,68476487,68477374
OR7E115P,-,chr10,15049860,15050883
OR7E116P,+,chr9,92994467,92995423
OR7E117P,-,chr11,3620825,3621936
OR7E11P,-,chr11,67503079,67504030
OR7E121P,-,chr3,75647803,75648824
OR7E122P,+,chr3,8729829,8730845
OR7E125P,-,chr8,7104248,7105874
OR7E126P,+,chr11,71614240,71615127
OR7E128P,+,chr11,71604456,71605479
OR7E129P,-,chr3,129740396,129741363
OR7E12P,-,chr11,3412010,3412982
OR7E130P,+,chr3,125422193,125423156
OR7E136P,-,chr7,6906289,6907303
OR7E13P,-,chr11,86543582,86544491
OR7E140P,-,chr12,8567376,8568401
OR7E148P,-,chr12,8580236,8581206
OR7E149P,-,chr12,8589999,8591021
OR7E14P,+,chr11,17035545,17074583
OR7E154P,-,chr8,7562704,7564413
OR7E155P,-,chr13,42013952,42015035
OR7E156P,+,chr13,64316498,64316945
OR7E157P,+,chr8,7449528,7450438
OR7E158P,-,chr8,11777409,11778318
OR7E159P,-,chr14,52238507,52238804
OR7E15P,-,chr8,12553816,12554782
OR7E160P,-,chr8,11891155,11892121
OR7E161P,-,chr8,11786101,11787072
OR7E162P,-,chr4,3903293,3904321
OR7E163P,-,chr4,3891083,3891976
OR7E16P,+,chr19,9301962,9302846
OR7E18P,-,chr19,9371691,9372392
OR7E19P,-,chr19,9376066,9377015
OR7E1P,-,chr11,67741757,67742714
OR7E21P,-,chr3,129753396,129754382
OR7E22P,-,chr3,75405667,75406654
OR7E23P,+,chr21,33993359,33994406
OR7E24,+,chr19,9361606,9362820
OR7E25P,+,chr19,9314984,9315893
OR7E26P,-,chr10,15041049,15042054
OR7E28P,+,chr2,159718823,159719797
OR7E29P,+,chr3,125430983,125431889
OR7E2P,-,chr11,86568101,86568989
OR7E31P,+,chr9,92978321,92979206
OR7E33P,+,chr13,68485219,68486080
OR7E35P,+,chr4,9756522,9757402
OR7E36P,-,chr13,42005425,42006446
OR7E37P,+,chr13,42016906,42017786
OR7E38P,-,chr7,97595402,97596386
OR7E39P,-,chr7,6875051,6875425
OR7E43P,-,chr4,4176046,4176965
OR7E46P,+,chr2,71264815,71265833
OR7E47P,+,chr12,52473480,52502045
OR7E4P,+,chr11,71331066,71332078
OR7E53P,+,chr3,125453138,125454041
OR7E55P,-,chr3,75419599,75420493
OR7E59P,-,chr7,6919258,6920257
OR7E5P,-,chr11,55746179,55753881
OR7E62P,+,chr2,71282657,71283133
OR7E66P,-,chr3,75396984,75397938
OR7E7P,-,chr7,97576299,97577310
OR7E83P,+,chr4,9514554,9515523
OR7E84P,+,chr4,9470746,9471694
OR7E85P,+,chr4,9485365,9486349
OR7E86P,+,chr4,9460981,9461970
OR7E87P,+,chr11,71304500,71305428
OR7E89P,+,chr2,159710267,159711088
OR7E8P,-,chr8,12541663,12542662
OR7E90P,+,chr2,159731154,159732182
OR7E91P,+,chr2,71256158,71257023
OR7E93P,+,chr3,125443382,125444288
OR7E94P,-,chr4,80508456,80509284
OR7E96P,+,chr8,7897500,7898475
OR7E97P,+,chr3,125465927,125466941
OR7E99P,-,chr4,4158249,4159170
OR7G1,-,chr19,9225274,9226439
OR7G2,-,chr19,9212945,9213982
OR7G3,-,chr19,9236688,9237626
OR7H1P,-,chr19,9389124,9390045
OR7H2P,-,chr5,101152179,101152484
OR7K1P,+,chr14,25826970,25827895
OR7L1P,+,chrX,130730113,130730812
OR7M1P,+,chr10,135294742,135295274
OR8A1,+,chr11,124439893,124441037
OR8A2P,+,chr11,124330430,124331381
OR8A3P,+,chr11,124401521,124401806
OR8B10P,-,chr11,124386207,124387138
OR8B12,-,chr11,124412578,124413575
OR8B1P,-,chr11,124235530,124236447
OR8B2,-,chr11,124252291,124253258
OR8B3,-,chr11,124266278,124267264
OR8B4,-,chr11,124293807,124294789
OR8B5P,-,chr11,124227456,124228365
OR8B6P,-,chr11,124208679,124209558
OR8B7P,-,chr11,124194767,124195685
OR8B8,-,chr11,124310022,124311054
OR8B9P,-,chr11,124350895,124351819
OR8C1P,-,chr11,124246773,124247697
OR8D1,-,chr11,124179708,124180733
OR8D2,-,chr11,124189134,124190184
OR8D4,+,chr11,123777109,123778183
OR8F1P,+,chr11,124077890,124078822
OR8G1,+,chr11,124120423,124135763
OR8G3P,+,chr11,124085346,124086394
OR8G5,+,chr11,124134723,124135763
OR8G7P,+,chr11,124109121,124110228
OR8H1,-,chr11,56057529,56058566
OR8H2,+,chr11,55872519,55873457
OR8H3,+,chr11,55889849,55890787
OR8I1P,-,chr11,56064017,56064947
OR8I2,+,chr11,55860753,55861762
OR8I4P,-,chr11,55864720,55864860
OR8J1,+,chr11,56127691,56128764
OR8J2,-,chr11,55978334,55979298
OR8J3,-,chr11,55904247,55905194
OR8K1,+,chr11,56113421,56114507
OR8K2P,+,chr11,56102618,56103544
OR8K3,+,chr11,56085783,56086721
OR8K4P,-,chr11,55909992,55910863
OR8K5,-,chr11,55926870,55927793
OR8L1P,+,chr11,56149111,56150065
OR8Q1P,+,chr11,124471480,124472134
OR8R1P,+,chr11,72959824,72960912
OR8S1,+,chr12,48901137,48923680
OR8S21P,-,chr12,48810933,48811120
OR8T1P,-,chr12,48835813,48836730
OR8U1,+,chr11,56143100,56144029
OR8V1P,-,chr11,55955855,55956727
OR8X1P,-,chr11,124274130,124274998
OR9A1P,+,chr7,141586948,141587892
OR9A2,-,chr7,142723245,142724282
OR9A3P,+,chr7,141562660,141563537
OR9A4,+,chr7,141618617,141619709
OR9G1,+,chr11,56467864,56468781
OR9G2P,-,chr11,56518499,56519378
OR9G3P,+,chr11,56507655,56508572
OR9G4,-,chr11,56510303,56511287
OR9H1P,+,chr1,247938212,247939138
OR9I1,-,chr11,57885972,57886916
OR9I2P,+,chr11,57911967,57912869
OR9I3P,-,chr11,57876192,57877133
OR9K1P,+,chr12,55509317,55510257
OR9K2,+,chr12,55523465,55524586
OR9L1P,-,chr11,57844820,57846075
OR9M1P,+,chr11,55623068,55623988
OR9N1P,+,chr7,141611017,141611743
OR9P1P,-,chr7,142744314,142744681
OR9Q1,+,chr11,57791353,57949088
OR9Q2,+,chr11,57957906,57958990
OR9R1P,+,chr12,55552631,55553507
OR9S24P,+,chr2,241018850,241019779
ORAI1,+,chr12,122064455,122080583
ORAI2,+,chr7,102073553,102097268
ORAI3,+,chr16,30960387,30967782
ORAOV1,-,chr11,69467844,69490184
ORAOV1P1,-,chr4,187092017,187092411
ORC1,-,chr1,52838501,52870131
ORC2,-,chr2,201773696,201828403
ORC3,+,chr6,88299839,88377169
ORC4,-,chr2,148687968,148779147
ORC5,-,chr7,103766788,103848495
ORC6,+,chr16,46723555,46732306
ORM1,+,chr9,117085336,117088755
ORM2,+,chr9,117092149,117095532
ORMDL1,-,chr2,190635049,190649097
ORMDL2,+,chr12,56211703,56215663
ORMDL3,-,chr17,38077294,38083854
OS9,+,chr12,58087738,58115340
OSBP,-,chr11,59341871,59383617
OSBP2,+,chr22,31089769,31303811
OSBPL10,-,chr3,31699382,32119072
